ID,Edad,Deporte,Sexo,Medalla,Puntuacion
1,32,Natación,Masculino,No,0.75
2,45,Gimnasia,Femenino,No,0.82
3,28,Atletismo,Masculino,Sí,0.61
4,37,Ciclismo,Femenino,No,0.92
5,41,Tenis,Masculino,No,0.78
6,23,Esgrima,Femenino,No,0.55
7,34,Baloncesto,Masculino,No,0.71
8,39,Voleibol,Femenino,No,0.80
9,27,Atletismo,Masculino,No,0.59
10,48,Natación,Femenino,No,0.95
11,,Gimnasia,Masculino,No,0.73
12,43,Atletismo,Femenino,No,0.85
13,25,Ciclismo,Masculino,No,0.67
14,36,Tenis,Femenino,No,0.88
15,29,Esgrima,Masculino,No,0.63
16,42,Baloncesto,Femenino,No,0.76
17,33,Voleibol,Masculino,No,0.79
18,38,Atletismo,Femenino,Sí,
19,26,Natación,Masculino,No,0.70
20,47,Gimnasia,Femenino,No,0.91
21,30,Atletismo,Masculino,No,0.68
22,44,Ciclismo,Femenino,No,
23,35,Tenis,Masculino,No,0.87
24,,Esgrima,Femenino,No,0.81
25,24,Baloncesto,Masculino,No,0.66
26,46,Voleibol,Femenino,No,0.89
27,31,Atletismo,Masculino,No,0.72
28,37,Natación,Femenino,No,0.86
29,28,Gimnasia,Masculino,No,0.77
30,49,Atletismo,Femenino,Sí,0.93
